strain	taxonomyId	accession	isRef	level	chromosomeCount	length	scaffoldCount	scaffoldN50	scaffoldL50	coverage	gcPercent	annotationStatus	pairedAccession	species	speciesTaxonomyId	lineageTaxonomyIds	taxonomicGroup	taxonomicLevelDomain	taxonomicLevelRealm	taxonomicLevelKingdom	taxonomicLevelPhylum	taxonomicLevelClass	taxonomicLevelOrder	taxonomicLevelFamily	taxonomicLevelGenus	taxonomicLevelSpecies	taxonomicLevelStrain	ucscBrowser	genBank	refSeq	geneModelUrl
	108607	GCA_902651635.1	True	Scaffold		57266623	1925.0	442475.0	36.0	50.0x	60.5			Mastigamoeba balamuthi	108607	1,131567,2759,554915,2605435,555406,2682482,174815,81099,108607	Amoebozoa	Eukaryota			Evosea		Mastigamoebida	Mastigamoebidae	Mastigamoeba	Mastigamoeba balamuthi		https://genome.ucsc.edu/h/GCA_902651635.1	GCA_902651635.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/902/651/635/GCA_902651635.1/genes/GCA_902651635.1_mastiga_genome_v5.1.augustus.gtf.gz
CBS 124340	114810	GCA_022385695.1	True	Scaffold		51163159	89.0	1113176.0	18.0	86.2x	44.5			Xylaria arbuscula	114810	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222545,37989,37990,37991,114810	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria arbuscula		https://genome.ucsc.edu/h/GCA_022385695.1	GCA_022385695.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/022/385/695/GCA_022385695.1/genes/GCA_022385695.1_Xylarb124340_1.augustus.gtf.gz
SLH14081	559298	GCF_000003855.2	True	Scaffold		75353942	100.0	2435518.0	8.0	8.4x	36.0	Full annotation	GCA_000003855.2	Blastomyces gilchristii	1681229	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,229219,1681229,559298	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces	Blastomyces gilchristii	Blastomyces gilchristii SLH14081	https://genome.ucsc.edu/h/GCF_000003855.2	GCA_000003855.2	GCF_000003855.2	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/003/855/GCF_000003855.2/genes/GCF_000003855.2_BD_SLH14081_V1.ncbiRefSeq.gtf.gz
1704	336963	GCF_000003515.1	True	Scaffold		22327935	44.0	5232914.0	2.0	5.0x	48.5	Full annotation	GCA_000003515.2	Uncinocarpus reesii	33188	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,33187,33188,336963	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Uncinocarpus	Uncinocarpus reesii	Uncinocarpus reesii 1704	https://genome.ucsc.edu/h/GCF_000003515.1	GCA_000003515.2	GCF_000003515.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/003/515/GCF_000003515.1/genes/GCF_000003515.1_ASM351v2.ncbiRefSeq.gtf.gz
	5869	GCA_023705535.2	True	Scaffold		7770018	39.0	525571.0	5.0		44.0			Babesia ovis	5869	1,131567,2759,2698737,33630,5794,422676,5863,32594,5864,5869	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Piroplasmida	Babesiidae	Babesia	Babesia ovis		https://genome.ucsc.edu/h/GCA_023705535.2	GCA_023705535.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/023/705/535/GCA_023705535.2/genes/GCA_023705535.2_Bovis.genome.20180530v2.augustus.gtf.gz
Winnie	27996	GCA_020283715.1	True	Contig		9067201				26.0x	32.0			Cytauxzoon felis	27996	1,131567,2759,2698737,33630,5794,422676,5863,27994,27995,27996	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Piroplasmida	Theileriidae	Cytauxzoon	Cytauxzoon felis		https://genome.ucsc.edu/h/GCA_020283715.1	GCA_020283715.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/020/283/715/GCA_020283715.1/genes/GCA_020283715.1_ASM2028371v1.augustus.gtf.gz
p57	2592485	GCA_028554745.1	True	Contig		24706389				240.0x	34.5			Blastocrithidia nonstop	2592485	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,28004,2592485	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Blastocrithidia	Blastocrithidia nonstop		https://genome.ucsc.edu/h/GCA_028554745.1	GCA_028554745.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/028/554/745/GCA_028554745.1/genes/GCA_028554745.1_ASM2855474v1.augustus.gtf.gz
	1463230	GCA_020509355.1	True	Scaffold		21547614	545.0	103635.0	63.0	50.0x	55.0			Blechomonas ayalai	1463230	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,1463229,1463230	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Blechomonas	Blechomonas ayalai		https://genome.ucsc.edu/h/GCA_020509355.1	GCA_020509355.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/020/509/355/GCA_020509355.1/genes/GCA_020509355.1_ASM2050935v1.augustus.gtf.gz
	79252	GCA_022627015.2	True	Scaffold		55605580	12357.0	11409.0	1419.0	375.0x	43.0			Podosphaera aphanis	79252	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147548,5120,34371,62701,79252	Ascomycota	Eukaryota		Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Podosphaera	Podosphaera aphanis		https://genome.ucsc.edu/h/GCA_022627015.2	GCA_022627015.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/022/627/015/GCA_022627015.2/genes/GCA_022627015.2_ASM2262701v2.augustus.gtf.gz
	5833	GCA_900632045.1	False	Complete Genome	14.0	22641838	14.0	1661861.0	5.0	180.0x	19.0			Plasmodium falciparum	5833	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418107,5833	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum		https://genome.ucsc.edu/h/GCA_900632045.1	GCA_900632045.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/632/045/GCA_900632045.1/genes/GCA_900632045.1_PfDd2-3.augustus.gtf.gz
VNII	5207	GCA_022832995.1	False	Complete Genome	14.0	18957373	14.0	1423448.0	6.0	246.0x	48.0			Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans		https://genome.ucsc.edu/h/GCA_022832995.1	GCA_022832995.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/022/832/995/GCA_022832995.1/genes/GCA_022832995.1_ASM2283299v1.augustus.gtf.gz
BG3993	5478	GCA_020450195.1	False	Complete Genome	13.0	12727606	13.0	1069838.0	5.0	40.0x	39.0			Nakaseomyces glabratus	5478	1,131567,2759,33154,4751,451864,4890,716545,147537,4891,4892,4893,374468,5478	Ascomycota	Eukaryota		Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces glabratus		https://genome.ucsc.edu/h/GCA_020450195.1	GCA_020450195.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/020/450/195/GCA_020450195.1/genes/GCA_020450195.1_ASM2045019v1.augustus.gtf.gz
Friedlin	347515	GCA_916722125.1	False	Complete Genome	36.0	32797613	36.0	1071765.0	11.0	95.0x	59.5			Leishmania major	5664	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,1286322,5658,38568,38581,5664,347515	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania major	Leishmania major strain Friedlin	https://genome.ucsc.edu/h/GCA_916722125.1	GCA_916722125.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/916/722/125/GCA_916722125.1/genes/GCA_916722125.1_LMJFC_annotationDEFINITIVO.augustus.gtf.gz
	5661	GCA_900635355.2	False	Complete Genome	36.0	33035865	36.0	1062302.0	11.0	100.0x	60.0			Leishmania donovani	5661	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,1286322,5658,38568,38574,5661	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania donovani		https://genome.ucsc.edu/h/GCA_900635355.2	GCA_900635355.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/635/355/GCA_900635355.2/genes/GCA_900635355.2_LDHU3_new.augustus.gtf.gz
17XNL clone 1.1	73239	GCA_020844765.3	False	Complete Genome	14.0	23044347	14.0	2046261.0	5.0	72.0x	21.5			Plasmodium yoelii	5861	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418101,5861,73239	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium yoelii		https://genome.ucsc.edu/h/GCA_020844765.3	GCA_020844765.3		https://hgdownload.soe.ucsc.edu/hubs/GCA/020/844/765/GCA_020844765.3/genes/GCA_020844765.3_17XNL_PSU_2.augustus.gtf.gz
	5671	GCA_900500625.2	False	Complete Genome	36.0	32803248	36.0	1055293.0	11.0	100.0x	59.5			Leishmania infantum	5671	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,1286322,5658,38568,38574,5671	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania infantum		https://genome.ucsc.edu/h/GCA_900500625.2	GCA_900500625.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/500/625/GCA_900500625.2/genes/GCA_900500625.2_LINF.augustus.gtf.gz
	5807	GCA_019844115.2	False	Complete Genome	8.0	9197619	8.0	1108772.0	4.0	53.0x	30.0			Cryptosporidium parvum	5807	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,35082,5806,5807	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium	Cryptosporidium parvum		https://genome.ucsc.edu/h/GCA_019844115.2	GCA_019844115.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/019/844/115/GCA_019844115.2/genes/GCA_019844115.2_ASM1984411v2.augustus.gtf.gz
ATCC 42132	1230383	GCA_900149145.1	False	Complete Genome	8.0	7747459	8.0	1353702.0	3.0	100.0x	59.0			Malassezia sympodialis	76777	1,131567,2759,33154,4751,451864,5204,452284,1538075,162474,742845,55193,76777,1230383	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia sympodialis	Malassezia sympodialis ATCC 42132	https://genome.ucsc.edu/h/GCA_900149145.1	GCA_900149145.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/149/145/GCA_900149145.1/genes/GCA_900149145.1_Msy_ATCC_42132_Feb2016.augustus.gtf.gz
	138298	GCA_903994235.1	False	Chromosome	14.0	19391540	14.0	1793992.0	5.0	186.0x	23.0			Plasmodium vinckei	5860	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418101,5860,138298	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium vinckei		https://genome.ucsc.edu/h/GCA_903994235.1	GCA_903994235.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/903/994/235/GCA_903994235.1/genes/GCA_903994235.1_PVPCR_v1.augustus.gtf.gz
	119398	GCA_903994205.1	False	Chromosome	14.0	19171439	14.0	1774200.0	5.0	177.0x	23.0			Plasmodium vinckei	5860	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418101,5860,119398	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium vinckei		https://genome.ucsc.edu/h/GCA_903994205.1	GCA_903994205.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/903/994/205/GCA_903994205.1/genes/GCA_903994205.1_PVBDA_v1.augustus.gtf.gz
T	48703	GCA_900290415.1	False	Chromosome	7.0	34302724	7.0	4662433.0	3.0	100.0x	52.5			Podospora comata	48703	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222544,5139,2609812,5144,48703	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	Podospora comata		https://genome.ucsc.edu/h/GCA_900290415.1	GCA_900290415.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/290/415/GCA_900290415.1/genes/GCA_900290415.1_version1.augustus.gtf.gz
	1276537	GCA_900184105.1	False	Chromosome	21.0	40657500	21.0	2793411.0	6.0	100.0x	52.0			Zymoseptoria tritici	1047171	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715962,147541,451867,2726947,93133,1047167,1047171,1276537	Ascomycota	Eukaryota		Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zymoseptoria	Zymoseptoria tritici	Zymoseptoria tritici ST99CH_3D1	https://genome.ucsc.edu/h/GCA_900184105.1	GCA_900184105.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/184/105/GCA_900184105.1/genes/GCA_900184105.1_ST99CH_3D1.augustus.gtf.gz
DAOM-197198	588596	GCA_020716725.1	False	Chromosome	33.0	147209168	33.0	4960142.0	14.0	100.0x	28.0			Rhizophagus irregularis	588596	1,131567,2759,33154,4751,112252,1913637,214504,214506,36750,36751,1129544,588596	Mucoromycota	Eukaryota		Fungi	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus irregularis		https://genome.ucsc.edu/h/GCA_020716725.1	GCA_020716725.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/020/716/725/GCA_020716725.1/genes/GCA_020716725.1_ASM2071672v1.augustus.gtf.gz
C2	588596	GCA_020716745.1	False	Chromosome	33.0	161924360	33.0	5450979.0	14.0	100.0x	28.0			Rhizophagus irregularis	588596	1,131567,2759,33154,4751,112252,1913637,214504,214506,36750,36751,1129544,588596	Mucoromycota	Eukaryota		Fungi	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus irregularis		https://genome.ucsc.edu/h/GCA_020716745.1	GCA_020716745.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/020/716/745/GCA_020716745.1/genes/GCA_020716745.1_ASM2071674v1.augustus.gtf.gz
	5802	GCA_905310635.1	False	Chromosome	15.0	53209173	15.0	4007228.0	6.0	41.0x	51.5			Eimeria tenella	5802	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5799,5800,5802	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Eimeria	Eimeria tenella		https://genome.ucsc.edu/h/GCA_905310635.1	GCA_905310635.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/905/310/635/GCA_905310635.1/genes/GCA_905310635.1_pEimTen1.1.augustus.gtf.gz
	5850	GCA_900162085.1	False	Chromosome	16.0	24311210	16.0	2195390.0	5.0	38.0x	38.5			Plasmodium knowlesi	5850	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418103,5850	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium knowlesi		https://genome.ucsc.edu/h/GCA_900162085.1	GCA_900162085.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/162/085/GCA_900162085.1/genes/GCA_900162085.1_PkA1H1_v1.augustus.gtf.gz
	62690	GCA_900519115.1	False	Chromosome	12.0	140802721	12.0	15587074.0	4.0	85.0x	44.0			Blumeria graminis	34373	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147548,5120,34371,34372,34373,62690	Ascomycota	Eukaryota		Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	Blumeria graminis		https://genome.ucsc.edu/h/GCA_900519115.1	GCA_900519115.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/519/115/GCA_900519115.1/genes/GCA_900519115.1_Bgt_genome_v3.16.augustus.gtf.gz
	138297	GCA_903994225.1	False	Chromosome	14.0	19306970	14.0	1766649.0	5.0	265.0x	23.5			Plasmodium vinckei	5860	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418101,5860,138297	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium vinckei		https://genome.ucsc.edu/h/GCA_903994225.1	GCA_903994225.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/903/994/225/GCA_903994225.1/genes/GCA_903994225.1_PVLDE_v1.augustus.gtf.gz
	5860	GCA_903994265.1	False	Chromosome	14.0	19498479	14.0	1799994.0	5.0	252.0x	23.0			Plasmodium vinckei	5860	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418101,5860	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium vinckei		https://genome.ucsc.edu/h/GCA_903994265.1	GCA_903994265.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/903/994/265/GCA_903994265.1/genes/GCA_903994265.1_PVSEL_v1.augustus.gtf.gz
	720590	GCA_900257145.2	False	Chromosome	14.0	21914523	14.0	1627923.0	5.0	100.0x	19.0			Plasmodium sp. DRC-Itaito	720590	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418107,720590	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium sp. DRC-Itaito		https://genome.ucsc.edu/h/GCA_900257145.2	GCA_900257145.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/257/145/GCA_900257145.2/genes/GCA_900257145.2_Plasmodium_billcollinsi.augustus.gtf.gz
	5833	GCA_900631995.1	False	Chromosome	14.0	23672855	17.0	1701451.0	5.0	180.0x	19.5			Plasmodium falciparum	5833	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418107,5833	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum		https://genome.ucsc.edu/h/GCA_900631995.1	GCA_900631995.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/631/995/GCA_900631995.1/genes/GCA_900631995.1_PfGN01-3.augustus.gtf.gz
	5833	GCA_900617135.1	False	Chromosome	14.0	23545947	19.0	1680329.0	5.0	180.0x	19.5			Plasmodium falciparum	5833	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418107,5833	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum		https://genome.ucsc.edu/h/GCA_900617135.1	GCA_900617135.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/617/135/GCA_900617135.1/genes/GCA_900617135.1_PfCD01-2.augustus.gtf.gz
	5833	GCA_900632005.1	False	Chromosome	14.0	23089490	18.0	1671281.0	5.0	180.0x	19.5			Plasmodium falciparum	5833	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418107,5833	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum		https://genome.ucsc.edu/h/GCA_900632005.1	GCA_900632005.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/632/005/GCA_900632005.1/genes/GCA_900632005.1_PfGA01-3.augustus.gtf.gz
	5833	GCA_900632095.1	False	Chromosome	13.0	22709431	17.0	1823838.0	5.0	180.0x	19.0			Plasmodium falciparum	5833	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418107,5833	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum		https://genome.ucsc.edu/h/GCA_900632095.1	GCA_900632095.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/632/095/GCA_900632095.1/genes/GCA_900632095.1_PfSD01-3.augustus.gtf.gz
KH2	5833	GCA_900632015.1	False	Chromosome	14.0	23068186	19.0	1635582.0	5.0	180.0x	19.5			Plasmodium falciparum	5833	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418107,5833	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum		https://genome.ucsc.edu/h/GCA_900632015.1	GCA_900632015.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/632/015/GCA_900632015.1/genes/GCA_900632015.1_PfKH02-3.augustus.gtf.gz
	5833	GCA_900631975.1	False	Chromosome	14.0	22736618	19.0	1627361.0	5.0	180.0x	19.5			Plasmodium falciparum	5833	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418107,5833	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum		https://genome.ucsc.edu/h/GCA_900631975.1	GCA_900631975.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/631/975/GCA_900631975.1/genes/GCA_900631975.1_PfKE01-3.augustus.gtf.gz
KH1	5833	GCA_900632025.1	False	Chromosome	14.0	23225979	20.0	1620677.0	5.0	180.0x	19.5			Plasmodium falciparum	5833	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418107,5833	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum		https://genome.ucsc.edu/h/GCA_900632025.1	GCA_900632025.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/632/025/GCA_900632025.1/genes/GCA_900632025.1_PfKH01-3.augustus.gtf.gz
	5833	GCA_900631985.1	False	Chromosome	14.0	22771623	26.0	1593931.0	5.0	180.0x	19.0			Plasmodium falciparum	5833	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418107,5833	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum		https://genome.ucsc.edu/h/GCA_900631985.1	GCA_900631985.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/631/985/GCA_900631985.1/genes/GCA_900631985.1_PfHB3-3.augustus.gtf.gz
type strain: I	5833	GCA_900632055.1	False	Chromosome	14.0	23123850	25.0	1587719.0	5.0	180.0x	19.5			Plasmodium falciparum	5833	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418107,5833	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum		https://genome.ucsc.edu/h/GCA_900632055.1	GCA_900632055.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/632/055/GCA_900632055.1/genes/GCA_900632055.1_PfIT-3.augustus.gtf.gz
GB4	5833	GCA_900632035.1	False	Chromosome	14.0	23436708	24.0	1565165.0	5.0	180.0x	19.5			Plasmodium falciparum	5833	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418107,5833	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum		https://genome.ucsc.edu/h/GCA_900632035.1	GCA_900632035.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/632/035/GCA_900632035.1/genes/GCA_900632035.1_PfGB4-3.augustus.gtf.gz
	5833	GCA_900632065.1	False	Chromosome	14.0	25900321	77.0	1483156.0	6.0	180.0x	20.0			Plasmodium falciparum	5833	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418107,5833	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum		https://genome.ucsc.edu/h/GCA_900632065.1	GCA_900632065.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/632/065/GCA_900632065.1/genes/GCA_900632065.1_PfTG01-3.augustus.gtf.gz
	5833	GCA_900632085.1	False	Chromosome	14.0	25622360	115.0	1487517.0	6.0	180.0x	19.5			Plasmodium falciparum	5833	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418107,5833	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum		https://genome.ucsc.edu/h/GCA_900632085.1	GCA_900632085.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/632/085/GCA_900632085.1/genes/GCA_900632085.1_PfML01-3.augustus.gtf.gz
	5833	GCA_900632075.1	False	Chromosome	14.0	23450349	34.0	1632330.0	5.0	180.0x	19.5			Plasmodium falciparum	5833	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418107,5833	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum		https://genome.ucsc.edu/h/GCA_900632075.1	GCA_900632075.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/632/075/GCA_900632075.1/genes/GCA_900632075.1_PfSN01-3.augustus.gtf.gz
PH-1	5518	GCA_900044135.1	False	Chromosome	4.0	37952304	5.0	9395062.0	2.0	80.0x	48.0			Fusarium graminearum	5518	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum		https://genome.ucsc.edu/h/GCA_900044135.1	GCA_900044135.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/044/135/GCA_900044135.1/genes/GCA_900044135.1_GZPH1RResV1.augustus.gtf.gz
	5855	GCA_900093555.2	False	Chromosome	16.0	29040213	242.0	1761288.0	6.0	100.0x	40.0			Plasmodium vivax	5855	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418103,5855	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium vivax		https://genome.ucsc.edu/h/GCA_900093555.2	GCA_900093555.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/093/555/GCA_900093555.2/genes/GCA_900093555.2_GCA_900093555.augustus.gtf.gz
	5861	GCA_900002395.1	False	Chromosome	14.0	21995434	195.0	1760775.0	6.0	627.0x	21.5			Plasmodium yoelii	5861	1,131567,2759,2698737,33630,5794,422676,5819,1639119,5820,418101,5861	Apicomplexa	Eukaryota			Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium yoelii		https://genome.ucsc.edu/h/GCA_900002395.1	GCA_900002395.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/900/002/395/GCA_900002395.1/genes/GCA_900002395.1_PYYM01.augustus.gtf.gz
PH8	5659	GCA_025688915.1	False	Chromosome	34.0	31912247	76.0	1069554.0	10.0	86.0x	59.5			Leishmania amazonensis	5659	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,1286322,5658,38568,38582,5659	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania amazonensis		https://genome.ucsc.edu/h/GCA_025688915.1	GCA_025688915.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/025/688/915/GCA_025688915.1/genes/GCA_025688915.1_ASM2568891v1.augustus.gtf.gz
