Organism	Genome Source	Genome Version/Assembly ID	Is Reference Strain	Contigs	Supercontigs	Chromosomes	Species	Strain	VEuPathDB Project	taxId	asmId	genBank	refSeq	identical	sciName	comName	ucscBrowser	geneModelUrl
Anopheles darlingi AdarGF1	INSDC	GCF_943734745.1	yes	0	62	3	Anopheles darlingi	AdarGF1	VectorBase	43151	GCF_943734745.1_idAnoDarlMG_H_01	GCA_943734745.1	GCF_943734745.1	True	Anopheles darlingi	American malaria mosquito (primary hap 2022)	https://genome.ucsc.edu/h/GCF_943734745.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/943/734/745/GCF_943734745.1/genes/GCF_943734745.1_idAnoDarlMG_H_01.ncbiRefSeq.gtf.gz
Anopheles darlingi Coari	INSDC	GCA_000211455.3	no	0	2220	0	Anopheles darlingi	Coari	VectorBase	43151	GCA_000211455.3_A_darlingi_v1	GCA_000211455.3		False	Anopheles darlingi	American malaria mosquito (2013)	https://genome.ucsc.edu/h/GCA_000211455.3	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/211/455/GCA_000211455.3/genes/GCA_000211455.3_A_darlingi_v1.augustus.gtf.gz
Angomonas deanei strain Cavalho ATCC PRA-265	INSDC	GCA_903995115.1	yes	0	0	29	Angomonas deanei	strain Cavalho ATCC PRA-265	TriTrypDB	59799	GCA_903995115.1_Adeanei_nanopore_chromosomes	GCA_903995115.1		False	Angomonas deanei	Angomonas (Crithidia deanei Carvalho ATCC PRA-265 2020)	https://genome.ucsc.edu/h/GCA_903995115.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/903/995/115/GCA_903995115.1/genes/GCA_903995115.1_Adeanei_nanopore_chromosomes.augustus.gtf.gz
Anopheles dirus WRAIR2	INSDC	GCA_000349145.1	yes	0	1266	0	Anopheles dirus	WRAIR2	VectorBase	7168	GCA_000349145.1_Anop_diru_WRAIR2_V1	GCA_000349145.1		False	Anopheles dirus	mosquito A.dirus (WRAIR2 2013)	https://genome.ucsc.edu/h/GCA_000349145.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/349/145/GCA_000349145.1/genes/GCA_000349145.1_Anop_diru_WRAIR2_V1.augustus.gtf.gz
Anopheles epiroticus Epiroticus2	INSDC	GCA_000349105.1	yes	0	2673	0	Anopheles epiroticus	Epiroticus2	VectorBase	199890	GCA_000349105.1_Anop_epir_epiroticus2_V1	GCA_000349105.1		False	Anopheles epiroticus	mosquito A.epiroticus (epiroticus2 2013)	https://genome.ucsc.edu/h/GCA_000349105.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/349/105/GCA_000349105.1/genes/GCA_000349105.1_Anop_epir_epiroticus2_V1.augustus.gtf.gz
Aphanomyces euteiches MF1	INSDC	GCA_021527665.1	yes	0	7789	0	Aphanomyces euteiches	MF1	FungiDB	100861	GCA_021527665.1_ASM2152766v1	GCA_021527665.1		False	Aphanomyces euteiches	oomycetes (MF1 2022)	https://genome.ucsc.edu/h/GCA_021527665.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/021/527/665/GCA_021527665.1/genes/GCA_021527665.1_ASM2152766v1.augustus.gtf.gz
Anopheles farauti FAR1	INSDC	GCA_000473445.2	yes	0	310	0	Anopheles farauti	FAR1	VectorBase	69004	GCA_000473445.2_Anop_fara_FAR1_V2	GCA_000473445.2		False	Anopheles farauti	mosquito A.farauti (FAR1 2014)	https://genome.ucsc.edu/h/GCA_000473445.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/473/445/GCA_000473445.2/genes/GCA_000473445.2_Anop_fara_FAR1_V2.augustus.gtf.gz
Arthrobotrys flagrans CBS H-5679	INSDC	GCA_004000055.1	yes	0	14	0	Arthrobotrys flagrans	CBS H-5679	FungiDB	97331	GCA_004000055.1_DF_1.0	GCA_004000055.1	GCF_004000055.1	True	Arthrobotrys flagrans	ascomycetes A.flagrans (CBS H-5679 2019)	https://genome.ucsc.edu/h/GCA_004000055.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/004/000/055/GCA_004000055.1/genes/GCA_004000055.1_DF_1.0.augustus.gtf.gz
Aspergillus flavus NRRL3357 2020	INSDC	GCA_009017415.1	no	0	0	8	Aspergillus flavus	NRRL3357 2020	FungiDB	5059	GCA_009017415.1_ASM901741v1	GCA_009017415.1		False	Aspergillus flavus	ascomycetes A.flavus (NRRL 3357 2019)	https://genome.ucsc.edu/h/GCA_009017415.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/009/017/415/GCA_009017415.1/genes/GCA_009017415.1_ASM901741v1.augustus.gtf.gz
Anopheles funestus AfunGA1	INSDC	GCF_943734845.2	yes	0	326	3	Anopheles funestus	AfunGA1	VectorBase	62324	GCF_943734845.2_idAnoFuneDA-416_04	GCA_943734845.1	GCF_943734845.2	True	Anopheles funestus	African malaria mosquito (primary hap 2022)	https://genome.ucsc.edu/h/GCF_943734845.2	https://hgdownload.soe.ucsc.edu/hubs/GCF/943/734/845/GCF_943734845.2/genes/GCF_943734845.2_idAnoFuneDA-416_04.ncbiRefSeq.gtf.gz
Anopheles funestus FUMOZ	INSDC	GCA_003951495.1	no	0	0	3	Anopheles funestus	FUMOZ	VectorBase	62324	GCA_003951495.1_AfunF3	GCA_003951495.1		False	Anopheles funestus	African malaria mosquito (FUMOZ 2018)	https://genome.ucsc.edu/h/GCA_003951495.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/003/951/495/GCA_003951495.1/genes/GCA_003951495.1_AfunF3.augustus.gtf.gz
Anopheles gambiae Ifakara	INSDC	GCF_943734735.2	no	0	187	3	Anopheles gambiae	Ifakara	VectorBase	7165	GCF_943734735.2_idAnoGambNW_F1_1	GCA_943734735.2	GCF_943734735.2	True	Anopheles gambiae	African malaria mosquito (primary hap 2022)	https://genome.ucsc.edu/h/GCF_943734735.2	https://hgdownload.soe.ucsc.edu/hubs/GCF/943/734/735/GCF_943734735.2/genes/GCF_943734735.2_idAnoGambNW_F1_1.ncbiRefSeq.gtf.gz
Anopheles gambiae Pimperena	INSDC	GCA_000150785.1	no	0	13042	0	Anopheles gambiae	Pimperena	VectorBase	7165	GCA_000150785.1_g4	GCA_000150785.1		False	Anopheles gambiae	African malaria mosquito (S 2008)	https://genome.ucsc.edu/h/GCA_000150785.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/785/GCA_000150785.1/genes/GCA_000150785.1_g4.augustus.gtf.gz
Aphanomyces invadans NJM9701	GenBank	GCA_000520115.1	yes	0	481	0	Aphanomyces invadans	NJM9701	FungiDB	157072	GCF_000520115.1_Apha_inva_NJM9701_V1	GCA_000520115.1	GCF_000520115.1	True	Aphanomyces invadans	oomycetes (NJM9701 2014)	https://genome.ucsc.edu/h/GCF_000520115.1	
Aspergillus lentulus strain IFM 54703	INSDC	GCA_001445615.2	yes	0	12	0	Aspergillus lentulus	strain IFM 54703	FungiDB	293939	GCA_001445615.2_Alt_assembly01	GCA_001445615.2		False	Aspergillus lentulus	ascomycetes A.lentulus (IFM 54703 2021)	https://genome.ucsc.edu/h/GCA_001445615.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/445/615/GCA_001445615.2/genes/GCA_001445615.2_Alt_assembly01.augustus.gtf.gz
Acanthamoeba lenticulata PD2S	GenBank	GCA_000826285.1	yes	0	79048	0	Acanthamoeba lenticulata	PD2S	AmoebaDB	29196	GCA_000826285.1_Acanthamoeba_lenticulata	GCA_000826285.1		False	Acanthamoeba lenticulata	A.lenticulata (2015)	https://genome.ucsc.edu/h/GCA_000826285.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/826/285/GCA_000826285.1/genes/GCA_000826285.1_Acanthamoeba_lenticulata.augustus.gtf.gz
Antonospora locustae CLX	INSDC	GCA_007674295.1	yes	0	1	17	Antonospora locustae	CLX	MicrosporidiaDB	278021	GCA_007674295.1_ASM767429v1	GCA_007674295.1		False	Antonospora locustae	microsporidians A.locustae (CLX 2019)	https://genome.ucsc.edu/h/GCA_007674295.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/007/674/295/GCA_007674295.1/genes/GCA_007674295.1_ASM767429v1.augustus.gtf.gz
Acanthamoeba lugdunensis L3a	GenBank	GCA_000826425.1	yes	0	67459	0	Acanthamoeba lugdunensis	L3a	AmoebaDB	61605	GCA_000826425.1_Acanthamoeba_lugdunensis	GCA_000826425.1		False	Acanthamoeba lugdunensis	A.lugdunensis (2015)	https://genome.ucsc.edu/h/GCA_000826425.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/826/425/GCA_000826425.1/genes/GCA_000826425.1_Acanthamoeba_lugdunensis.augustus.gtf.gz
Anopheles maculipalpis AmacGA1	INSDC	GCF_943734695.1	yes	0	167	3	Anopheles maculipalpis	AmacGA1	VectorBase	1496333	GCF_943734695.1_idAnoMacuDA_375_x	GCA_943734695.1	GCF_943734695.1	True	Anopheles maculipalpis	mosquito A.maculipalpis (primary hap 2022)	https://genome.ucsc.edu/h/GCF_943734695.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/943/734/695/GCF_943734695.1/genes/GCF_943734695.1_idAnoMacuDA_375_x.ncbiRefSeq.gtf.gz
Amblyomma maculatum SK-2019	INSDC	GCA_023969395.1	yes	0	125877	0	Amblyomma maculatum	SK-2019	VectorBase	34609	GCA_023969395.1_ASM2396939v1	GCA_023969395.1		False	Amblyomma maculatum	Gulf Coast tick (SK-2019 2022)	https://genome.ucsc.edu/h/GCA_023969395.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/023/969/395/GCA_023969395.1/genes/GCA_023969395.1_ASM2396939v1.augustus.gtf.gz
Anopheles maculatus maculatus3	INSDC	GCA_000473185.1	yes	0	47797	0	Anopheles maculatus	maculatus3	VectorBase	74869	GCA_000473185.1_Anop_macu_maculatus3_V1	GCA_000473185.1		False	Anopheles maculatus	mosquito A.maculatus (maculatus3 2013)	https://genome.ucsc.edu/h/GCA_000473185.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/473/185/GCA_000473185.1/genes/GCA_000473185.1_Anop_macu_maculatus3_V1.augustus.gtf.gz
Anopheles marshallii AmarGA1	INSDC	GCF_943734725.1	yes	0	285	3	Anopheles marshallii	AmarGA1	VectorBase	1521116	GCF_943734725.1_idAnoMarsDA_429_01	GCA_943734725.1	GCF_943734725.1	True	Anopheles marshallii	mosquito A.marshallii (primary hap 2022)	https://genome.ucsc.edu/h/GCF_943734725.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/943/734/725/GCF_943734725.1/genes/GCF_943734725.1_idAnoMarsDA_429_01.ncbiRefSeq.gtf.gz
Acanthamoeba mauritaniensis 1652	GenBank	GCA_000826465.1	yes	0	67233	0	Acanthamoeba mauritaniensis	1652	AmoebaDB	196912	GCA_000826465.1_Acanthamoeba_mauritaniensis	GCA_000826465.1		False	Acanthamoeba mauritaniensis	A.mauritaniensis (2015)	https://genome.ucsc.edu/h/GCA_000826465.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/826/465/GCA_000826465.1/genes/GCA_000826465.1_Acanthamoeba_mauritaniensis.augustus.gtf.gz
Anopheles melas CM1001059_A	INSDC	GCA_000473525.2	yes	0	20229	0	Anopheles melas	CM1001059_A	VectorBase	34690	GCA_000473525.2_Anop_mela_CM1001059_A_V2	GCA_000473525.2		False	Anopheles melas	mosquito A.melas (CM1001059_A 2014)	https://genome.ucsc.edu/h/GCA_000473525.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/473/525/GCA_000473525.2/genes/GCA_000473525.2_Anop_mela_CM1001059_A_V2.augustus.gtf.gz
Anopheles merus MAF	INSDC	GCA_000473845.2	no	0	2027	0	Anopheles merus	MAF	VectorBase	30066	GCA_000473845.2_Anop_meru_MAF_V1	GCA_000473845.2		False	Anopheles merus	mosquito A.merus (MAF 2014)	https://genome.ucsc.edu/h/GCA_000473845.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/473/845/GCA_000473845.2/genes/GCA_000473845.2_Anop_meru_MAF_V1.augustus.gtf.gz
Anopheles merus MAF 2021	INSDC	GCF_017562075.2	yes	0	1322	5	Anopheles merus	MAF 2021	VectorBase	30066	GCF_017562075.2_AmerM5.1	GCA_017562075.2	GCF_017562075.2	False	Anopheles merus	mosquito A.merus (MAF 2021)	https://genome.ucsc.edu/h/GCF_017562075.2	https://hgdownload.soe.ucsc.edu/hubs/GCF/017/562/075/GCF_017562075.2/genes/GCF_017562075.2_AmerM5.1.ncbiRefSeq.gtf.gz
Anopheles minimus MINIMUS1	INSDC	GCA_000349025.1	yes	0	678	0	Anopheles minimus	MINIMUS1	VectorBase	112268	GCA_000349025.1_Anop_mini_MINIMUS1_V1	GCA_000349025.1		False	Anopheles minimus	mosquito A.minimus (MINIMUS1 2013)	https://genome.ucsc.edu/h/GCA_000349025.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/349/025/GCA_000349025.1/genes/GCA_000349025.1_Anop_mini_MINIMUS1_V1.augustus.gtf.gz
Apiotrichum montevideense JCM 9937	INSDC	GCA_001598995.1	yes	0	61	0	Apiotrichum montevideense	JCM 9937	FungiDB	82521	GCA_001598995.1_JCM_9937_assembly_v001	GCA_001598995.1		False	Apiotrichum montevideense	basidiomycetes A.montevideense (JCM 9937 2016)	https://genome.ucsc.edu/h/GCA_001598995.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/598/995/GCA_001598995.1/genes/GCA_001598995.1_JCM_9937_assembly_v001.augustus.gtf.gz
Anopheles moucheti AmouCM1	INSDC	GCF_943734755.1	yes	0	342	3	Anopheles moucheti	AmouCM1	VectorBase	186751	GCF_943734755.1_idAnoMoucSN_F20_07	GCA_943734755.1	GCF_943734755.1	False	Anopheles moucheti	mosquito A.moucheti (primary hap 2022)	https://genome.ucsc.edu/h/GCF_943734755.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/943/734/755/GCF_943734755.1/genes/GCF_943734755.1_idAnoMoucSN_F20_07.ncbiRefSeq.gtf.gz
Amauroascus mutatus isolate UAMH 3576	GenBank	GCA_001430935.1	yes	3075	0	0	Amauroascus mutatus	isolate UAMH 3576	FungiDB	2074759	GCA_001430935.1_ASM143093v1	GCA_001430935.1		False	Amauroascus verrucosus	ascomycetes A.verrucosus (UAMH 3576 2015)	https://genome.ucsc.edu/h/GCA_001430935.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/430/935/GCA_001430935.1/genes/GCA_001430935.1_ASM143093v1.augustus.gtf.gz
Aspergillus niger strain LDM3	INSDC	GCA_009812365.1	no	0	14	0	Aspergillus niger	strain LDM3	FungiDB	5061	GCA_009812365.1_ASM981236v1	GCA_009812365.1		False	Aspergillus niger	ascomycetes A.niger (LDM3 2019)	https://genome.ucsc.edu/h/GCA_009812365.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/009/812/365/GCA_009812365.1/genes/GCA_009812365.1_ASM981236v1.augustus.gtf.gz
Aspergillus niger strain N402 (ATCC64974)	GenBank	GCA_900248155.1	no	19	0	0	Aspergillus niger	strain N402 (ATCC64974)	FungiDB	5061	GCA_900248155.1_Aniger_ATCC_64974_N402	GCA_900248155.1		False	Aspergillus niger	ascomycetes A.niger (N402 ATCC 64974 2018)	https://genome.ucsc.edu/h/GCA_900248155.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/248/155/GCA_900248155.1/genes/GCA_900248155.1_Aniger_ATCC_64974_N402.augustus.gtf.gz
Amauroascus niger isolate UAMH 3544	GenBank	GCA_001430945.1	yes	3481	0	0	Amauroascus niger	isolate UAMH 3544	FungiDB	89421	GCA_001430945.1_ASM143094v1	GCA_001430945.1		False	Amauroascus niger	ascomycetes A.niger (UAMH 3544 2015)	https://genome.ucsc.edu/h/GCA_001430945.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/430/945/GCA_001430945.1/genes/GCA_001430945.1_ASM143094v1.augustus.gtf.gz
Anopheles nili AnilCM1	INSDC	GCF_943737925.1	yes	0	153	3	Anopheles nili	AnilCM1	VectorBase	185578	GCF_943737925.1_idAnoNiliSN_F5_01	GCA_943737925.1	GCF_943737925.1	True	Anopheles nili	mosquito A.nili (primary hap 2022)	https://genome.ucsc.edu/h/GCF_943737925.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/943/737/925/GCF_943737925.1/genes/GCF_943737925.1_idAnoNiliSN_F5_01.ncbiRefSeq.gtf.gz
Acanthamoeba palestinensis Reich	GenBank	GCA_000826305.1	yes	0	26188	0	Acanthamoeba palestinensis	Reich	AmoebaDB	65661	GCA_000826305.1_Acanthamoeba_healyi	GCA_000826305.1		False	Acanthamoeba healyi	A.healyi (2015)	https://genome.ucsc.edu/h/GCA_000826305.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/826/305/GCA_000826305.1/genes/GCA_000826305.1_Acanthamoeba_healyi.augustus.gtf.gz
Aspergillus parasiticus CBS 117618	INSDC	GCA_009176385.1	yes	0	270	0	Aspergillus parasiticus	CBS 117618	FungiDB	5067	GCA_009176385.1_Asppar1	GCA_009176385.1		False	Aspergillus parasiticus	ascomycetes A.parasiticus (CBS 117618 2019)	https://genome.ucsc.edu/h/GCA_009176385.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/009/176/385/GCA_009176385.1/genes/GCA_009176385.1_Asppar1.augustus.gtf.gz
Anopheles quadriannulatus SANGWE	INSDC	GCA_000349065.1	yes	0	2823	0	Anopheles quadriannulatus	SANGWE	VectorBase	34691	GCA_000349065.1_Anop_quad_QUAD4_A_V1	GCA_000349065.1		False	Anopheles quadriannulatus	mosquito A.quadriannulatus (QUAD4_A 2013)	https://genome.ucsc.edu/h/GCA_000349065.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/349/065/GCA_000349065.1/genes/GCA_000349065.1_Anop_quad_QUAD4_A_V1.augustus.gtf.gz
Acanthamoeba quina Vil3	GenBank	GCA_000826445.1	yes	0	60490	0	Acanthamoeba quina	Vil3	AmoebaDB	211522	GCA_000826445.1_Acanthamoeba_quina	GCA_000826445.1		False	Acanthamoeba quina	A.quina (2015)	https://genome.ucsc.edu/h/GCA_000826445.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/826/445/GCA_000826445.1/genes/GCA_000826445.1_Acanthamoeba_quina.augustus.gtf.gz
Acanthamoeba rhysodes Singh	GenBank	GCA_000826385.1	yes	0	62836	0	Acanthamoeba rhysodes	Singh	AmoebaDB	32599	GCA_000826385.1_Acanthamoeba_rhysodes	GCA_000826385.1		False	Acanthamoeba rhysodes	A.rhysodes (2015)	https://genome.ucsc.edu/h/GCA_000826385.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/826/385/GCA_000826385.1/genes/GCA_000826385.1_Acanthamoeba_rhysodes.augustus.gtf.gz
Anopheles sinensis China	INSDC	GCA_000441895.2	yes	0	9592	0	Anopheles sinensis	China	VectorBase	74873	GCA_000441895.2_AS2	GCA_000441895.2		False	Anopheles sinensis	mosquito A.sinensis (2014)	https://genome.ucsc.edu/h/GCA_000441895.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/441/895/GCA_000441895.2/genes/GCA_000441895.2_AS2.augustus.gtf.gz
Anopheles sinensis SINENSIS	INSDC	GCA_000472065.2	no	0	10448	0	Anopheles sinensis	SINENSIS	VectorBase	74873	GCA_000472065.2_Anop_sine_SINENSIS_V1	GCA_000472065.2		False	Anopheles sinensis	mosquito A.sinensis (SINENSIS 2014)	https://genome.ucsc.edu/h/GCA_000472065.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/472/065/GCA_000472065.2/genes/GCA_000472065.2_Anop_sine_SINENSIS_V1.augustus.gtf.gz
Anopheles stephensi Indian	INSDC	GCA_000300775.2	no	0	23371	0	Anopheles stephensi	Indian	VectorBase	30069	GCA_000300775.2_ASM30077v2	GCA_000300775.2		False	Anopheles stephensi	Asian malaria mosquito (Indian Wild Type Walter Reed 2013)	https://genome.ucsc.edu/h/GCA_000300775.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/300/775/GCA_000300775.2/genes/GCA_000300775.2_ASM30077v2.augustus.gtf.gz
Anopheles stephensi SDA-500	INSDC	GCA_000349045.1	no	0	1110	0	Anopheles stephensi	SDA-500	VectorBase	30069	GCA_000349045.1_Anop_step_SDA-500_V1	GCA_000349045.1		False	Anopheles stephensi	Asian malaria mosquito (SDA-500 2013)	https://genome.ucsc.edu/h/GCA_000349045.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/349/045/GCA_000349045.1/genes/GCA_000349045.1_Anop_step_SDA-500_V1.augustus.gtf.gz
Anopheles stephensi UCISS2018	INSDC	GCF_013141755.1	yes	0	491	3	Anopheles stephensi	UCISS2018	VectorBase	30069	GCF_013141755.1_UCI_ANSTEP_V1.0	GCA_013141755.1	GCF_013141755.1	False	Anopheles stephensi	Asian malaria mosquito	https://genome.ucsc.edu/h/GCF_013141755.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/013/141/755/GCF_013141755.1/genes/GCF_013141755.1_UCI_ANSTEP_V1.0.ncbiRefSeq.gtf.gz
Aspergillus tanneri NIH1004	INSDC	GCA_004798825.1	yes	0	1715	0	Aspergillus tanneri	NIH1004	FungiDB	1220188	GCA_004798825.1_ASM479882v1	GCA_004798825.1		False	Aspergillus tanneri	ascomycetes A.tanneri (NIH1004 2019)	https://genome.ucsc.edu/h/GCA_004798825.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/004/798/825/GCA_004798825.1/genes/GCA_004798825.1_ASM479882v1.augustus.gtf.gz
Aspergillus thermomutatus strain HMR AF 39	INSDC	GCA_002237265.2	yes	0	647	0	Aspergillus thermomutatus	strain HMR AF 39	FungiDB	41047	GCF_002237265.1_ASM223726v2	GCA_002237265.2	GCF_002237265.1	True	Aspergillus thermomutatus	ascomycetes A.thermomutatus	https://genome.ucsc.edu/h/GCF_002237265.1	
Acanthamoeba triangularis SH621	GenBank	GCA_000826325.1	yes	0	56742	0	Acanthamoeba triangularis	SH621	AmoebaDB	28015	GCA_000826325.1_Acanthamoeba_palestinensis	GCA_000826325.1		False	Acanthamoeba palestinensis	A.palestinensis (2015)	https://genome.ucsc.edu/h/GCA_000826325.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/826/325/GCA_000826325.1/genes/GCA_000826325.1_Acanthamoeba_palestinensis.augustus.gtf.gz
Apophysomyces variabilis NCCPF 102052	INSDC	GCA_002749535.1	yes	0	411	0	Apophysomyces variabilis	NCCPF 102052	FungiDB	760013	GCA_002749535.1_ASM274953v1	GCA_002749535.1		False	Apophysomyces variabilis	fungi A.variabilis (NCCPF 102052 2017)	https://genome.ucsc.edu/h/GCA_002749535.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/749/535/GCA_002749535.1/genes/GCA_002749535.1_ASM274953v1.augustus.gtf.gz
Anopheles ziemanni AzieGA1	INSDC	GCF_943734765.1	yes	0	416	3	Anopheles ziemanni	AzieGA1	VectorBase	345580	GCF_943734765.1_idAnoZiCoDA_A2_x.2	GCA_943734765.2	GCF_943734765.1	False	Anopheles ziemanni	mosquito A.ziemanni (2023)	https://genome.ucsc.edu/h/GCF_943734765.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/943/734/765/GCF_943734765.1/genes/GCF_943734765.1_idAnoZiCoDA_A2_x.2.ncbiRefSeq.gtf.gz
Blechomonas ayalai B08-376	GenBank	GCA_020509355.1	yes	0	545	0	Blechomonas ayalai	B08-376	TriTrypDB	1463230	GCA_020509355.1_ASM2050935v1	GCA_020509355.1		False	Blechomonas ayalai	Blechomonas ayalai (B08-376 2021)	https://genome.ucsc.edu/h/GCA_020509355.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/020/509/355/GCA_020509355.1/genes/GCA_020509355.1_ASM2050935v1.augustus.gtf.gz
Beauveria bassiana HN6	INSDC	GCA_014607475.1	yes	0	0	12	Beauveria bassiana	HN6	FungiDB	176275	GCA_014607475.1_ASM1460747v1	GCA_014607475.1		False	Beauveria bassiana	ascomycetes B.bassiana (HN6 2020)	https://genome.ucsc.edu/h/GCA_014607475.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/014/607/475/GCA_014607475.1/genes/GCA_014607475.1_ASM1460747v1.augustus.gtf.gz
Besnoitia besnoiti strain Bb-Ger1	GenBank	GCA_002563875.1	yes	172	0	13	Besnoitia besnoiti	strain Bb-Ger1	ToxoDB	94643	GCF_002563875.1_Bbes1.0	GCA_002563875.1	GCF_002563875.1	True	Besnoitia besnoiti	apicomplexans B.besnoiti (Bb-Ger1 2017)	https://genome.ucsc.edu/h/GCF_002563875.1	
Babesia bigemina strain BOND	GenBank	GCA_000723445.1	yes	0	478	5	Babesia bigemina	strain BOND	PiroplasmaDB	5866	GCA_000723445.1_BBBOND_0001	GCA_000723445.1		False	Babesia bigemina	apicomplexans B.bigemina (BOND 2014)	https://genome.ucsc.edu/h/GCA_000723445.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/723/445/GCA_000723445.1/genes/GCA_000723445.1_BBBOND_0001.augustus.gtf.gz
Babesia caballi USDA-D6B2	INSDC	GCA_024862765.1	yes	0	7	0	Babesia caballi	USDA-D6B2	PiroplasmaDB	5871	GCF_024862765.1_Bcaballi_D6B2_v1.0	GCA_024862765.1	GCF_024862765.1	False	Babesia caballi	apicomplexans B.caballi (USDA-D6B2 2022)	https://genome.ucsc.edu/h/GCF_024862765.1	
Byssoonygena ceratinophila isolate UAMH 5669	GenBank	GCA_001430925.1	yes	4851	0	0	Byssoonygena ceratinophila	isolate UAMH 5669	FungiDB	166112	GCA_001430925.1_ASM143092v1	GCA_001430925.1		False	Byssoonygena ceratinophila	ascomycetes B.ceratinophila (UAMH 5669 2015)	https://genome.ucsc.edu/h/GCA_001430925.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/430/925/GCA_001430925.1/genes/GCA_001430925.1_ASM143092v1.augustus.gtf.gz
Babesia divergens strain 1802A	GenBank	GCA_018398725.1	yes	0	79	0	Babesia divergens	strain 1802A	PiroplasmaDB	32595	GCA_018398725.1_ASM1839872v1	GCA_018398725.1		False	Babesia divergens	apicomplexans B.divergens (1802A 2021)	https://genome.ucsc.edu/h/GCA_018398725.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/398/725/GCA_018398725.1/genes/GCA_018398725.1_ASM1839872v1.augustus.gtf.gz
Babesia divergens strain Rouen 1987	GenBank	GCA_001077455.2	no	0	141	0	Babesia divergens	strain Rouen 1987	PiroplasmaDB	32595	GCA_001077455.2_ASM107745v2	GCA_001077455.2		False	Babesia divergens	apicomplexans B.divergens (Rouen 1987 2018)	https://genome.ucsc.edu/h/GCA_001077455.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/077/455/GCA_001077455.2/genes/GCA_001077455.2_ASM107745v2.augustus.gtf.gz
Babesia duncani strain WA1	INSDC	GCA_024586265.1	no	0	7	0	Babesia duncani	strain WA1	PiroplasmaDB	323732	GCA_024586265.1_ASM2458626v1	GCA_024586265.1		False	Babesia duncani	apicomplexans B.duncani (WA1 2022)	https://genome.ucsc.edu/h/GCA_024586265.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/024/586/265/GCA_024586265.1/genes/GCA_024586265.1_ASM2458626v1.augustus.gtf.gz
Babesia duncani strain WA1 2023	INSDC	GCA_028658345.1	yes	0	160	5	Babesia duncani	strain WA1 2023	PiroplasmaDB	323732	GCF_028658345.1_Bduncani_v1	GCA_028658345.1	GCF_028658345.1	True	Babesia duncani	apicomplexans B.duncani (WA1 2023)	https://genome.ucsc.edu/h/GCF_028658345.1	
